Book Name,Price,Rating,Url
Storytelling with Data: A Data Visualization Guide for Business Professionals,$19.25,4.6 out of 5 stars,https://www.amazon.com/Storytelling-Data-Visualization-Business-Professionals/dp/1119002257/ref=sr_1_1?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-1
Microsoft Excel Data Analysis and Business Modeling (Office 2021 and Microsoft 365),$49.99, ,https://www.amazon.com/Microsoft-Analysis-Business-Modeling-Office/dp/0137613660/ref=sr_1_3?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-3
The Art of Data Analysis: Non-Technical Skills for Data Analysts,$14.00,4.5 out of 5 stars,https://www.amazon.com/Art-Data-Analysis-Non-Technical-Analysts/dp/1702688526/ref=sr_1_4?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-4
Qualitative Data Analysis: A Methods Sourcebook,$80.75,4.8 out of 5 stars,https://www.amazon.com/Qualitative-Data-Analysis-Methods-Sourcebook/dp/150635307X/ref=sr_1_5?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-5
Murach's Python for Data Analysis,$50.14,4.3 out of 5 stars,https://www.amazon.com/Murachs-Python-Analysis-Scott-McCoy/dp/1943872767/ref=sr_1_6?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-6
"Data Analysis for Business, Economics, and Policy",$55.24,4.6 out of 5 stars,https://www.amazon.com/Data-Analysis-Business-Economics-Policy/dp/1108716202/ref=sr_1_7?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-7
Microsoft Excel 2019 Data Analysis and Business Modeling (Business Skills),$11.92,4.6 out of 5 stars,https://www.amazon.com/Microsoft-Analysis-Business-Modeling-Skills/dp/1509305882/ref=sr_1_8?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-8
An Introduction to Statistical Methods and Data Analysis,$42.99,4.2 out of 5 stars,https://www.amazon.com/Introduction-Statistical-Methods-Data-Analysis/dp/1305269470/ref=sr_1_9?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-9
SQL for Data Scientists: A Beginner's Guide for Building Datasets for Analysis,$35.89,4.8 out of 5 stars,https://www.amazon.com/SQL-Data-Scientists-Beginners-Building/dp/1119669367/ref=sr_1_10?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-10
Excel Data Analysis For Dummies,$15.60,4.5 out of 5 stars,https://www.amazon.com/Excel-Data-Analysis-Dummies-Computer/dp/1119518164/ref=sr_1_11?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-11
Python for Excel: A Modern Environment for Automation and Data Analysis,$37.80,4.7 out of 5 stars,https://www.amazon.com/Python-Excel-Environment-Automation-Analysis/dp/1492081000/ref=sr_1_12?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-12
Business Analytics: Data Analysis & Decision Making (MindTap Course List),$36.78,4.4 out of 5 stars,https://www.amazon.com/Business-Analytics-Analysis-Decision-MindTap/dp/0357109953/ref=sr_1_13?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-13
"Python Programming: The Complete Crash Course for Beginners to Mastering Python with Practical Applications to Data Analysis & Analytics, Machine Learning and Data Science Projects - 6 Manuscripts",$23.95,4.7 out of 5 stars,https://www.amazon.com/Python-Programming-Beginners-Applications-Manuscripts/dp/B098H21CQC/ref=sr_1_14?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-14
Data Analysis for Continuous School Improvement,$31.80,4.6 out of 5 stars,https://www.amazon.com/Data-Analysis-Continuous-School-Improvement/dp/1138294624/ref=sr_1_15?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-15
Categorical Data Analysis,$32.99,4.7 out of 5 stars,https://www.amazon.com/Categorical-Data-Analysis-Alan-Agresti/dp/0470463635/ref=sr_1_16?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-16
Data Analysis Using SQL and Excel,$31.43,4.4 out of 5 stars,https://www.amazon.com/Data-Analysis-Using-SQL-Excel/dp/111902143X/ref=sr_1_17?crid=27E68Q3L17CGO&keywords=data+analysis&qid=1639660326&sprefix=data+%2Caps%2C420&sr=8-17
