Name,Price,Condition_mileage
Mercedes-Benz C250 2015 Black,"7,800,000",Foreign Used
Toyota Corolla 2007 S Blue,"2,100,000",Nigerian Used
Jeep Wrangler 2007 Silver,"5,000,000",Foreign Used
Ford Edge 2014 Beige,"2,500,000","Nigerian Used
100000 km"
Toyota Camry 2013 Gray,"3,700,000",Nigerian Used
Mercedes-Benz E350 2006 Beige,"3,200,000",Foreign Used
New JAC S2 2019 Black,"6,500,000","Brand New
16983 km"
Toyota Camry 2014 Green,"3,800,000","Nigerian Used
60542 km"
Honda Accord 2003 Automatic Gold,"1,900,000","Foreign Used
150000 km"
Toyota Camry 2017 Gray,"9,000,000","Foreign Used
56974 km"
Honda Accord 2014 White,"5,700,000",Foreign Used
Mercedes-Benz C300 2010 White,"5,000,000",Foreign Used
Toyota Land Cruiser Prado 2008 Black,"7,500,000",Nigerian Used
Ford Edge 2014 Silver,"3,850,000","Nigerian Used
115230 km"
Toyota Venza 2009 Blue,"6,600,000",Foreign Used
Lexus IS 2012 350 Black,"4,500,000",Foreign Used
Cadillac CTS 2013 Blue,"8,200,000","Foreign Used
15300 km"
Ford Fusion 2013 SE Black,"5,500,000","Foreign Used
51000 km"
Hyundai Genesis 2013 Black,"6,200,000","Foreign Used
45123 km"
BMW 7 Series 2017 Silver,"30,000,000",Foreign Used
Toyota Hilux 2014 SR 4x4 Black,"20,000,000",Foreign Used
Mercedes-Benz C350 2008 Silver,"3,800,000","Foreign Used
95256 km"
Toyota Corolla 2015 White,"5,700,000","Foreign Used
46670 km"
Chevrolet Corvette 2019 Stingray White,"48,000,000","Foreign Used
2100 km"
Acura Tl 2012 silver,"2,045,000",105955 km
Toyota Camry 2016 White,"6,700,000","Foreign Used
58431 km"
Lexus LS 2011 Black,"7,500,000",Foreign Used
New Toyota Land Cruiser 2021 4.0 V6 GXR Brown,"30,000,000","Brand New
1214 km"
Mercedes-Benz GLE-Class 2020 Black,"55,000,000","Foreign Used
5082 km"
BMW 535i 2014 Black,"7,500,000","Nigerian Used
43865 km"
Toyota Highlander 2008 Gray,"4,162,500",124532 km
New Rolls-Royce Cullinan 2021 Base Blue,"414,200,000","Brand New
19 km"
Toyota Land Cruiser Prado 2014 Black,"17,000,000","Nigerian Used
87000 km"
Lexus LX 2017 White,"54,900,000",Foreign Used
BMW X3 2013 Silver,"8,500,000",Foreign Used
Lexus RX 2007 350 Black,"3,500,000","Nigerian Used
135628 km"
Mercedes-Benz E350 2011 Gray,"7,200,000",Foreign Used
Peugeot 406 2005 Silver,"1,100,000","Nigerian Used
98000 km"
Mercedes-Benz M Class 2013 ML 350 4Matic Blue,"10,000,000",Nigerian Used
Lexus RX 2000 Black,"1,350,000",126385 km
New Toyota RAV4 2020 Adventure AWD Black,"23,000,000","Brand New
200 km"
Mercedes-Benz E350 2014 Gray,"8,300,000",Nigerian Used
Lexus LS 2010 460 L Gold,"5,550,000","Nigerian Used
98988 km"
Toyota Corolla 2013 Silver,"3,400,000","Nigerian Used
85421 km"
Toyota Camry 2010 Gray,"3,500,000","Foreign Used
90000 km"
