Name,Price,Condition_mileage
Toyota Corolla 2012 Silver,"3,400,000",Nigerian Used
Toyota Camry 2009 Gray,"2,500,000","Nigerian Used
454203 km"
Jeep Wrangler 2013 Unlimited Sport Blue,"12,000,000","Foreign Used
53200 km"
BMW Z4 2010 sDrive28i White,"5,300,000","Foreign Used
98157 km"
Peugeot 207 2008 Gray,"1,800,000",Foreign Used
New Land Rover Range Rover 2020 Blue,"75,000,000","Brand New
794 km"
Peugeot 307 2007 Silver,"2,000,000","Foreign Used
120000 km"
Mercedes-Benz E350 2012 White,"4,700,000","Nigerian Used
85000 km"
Mazda 3 2014 White,"5,000,000",Foreign Used
Infiniti FX35 2005 Base 4x2 (3.5L 6cyl 5A) Blue,"1,800,000",Nigerian Used
Rover Land 2020 Black,"55,000,000",Foreign Used
Toyota Corolla Verso 2008 Black,"2,700,000",Foreign Used
Mercedes-Benz CLA-Class 2016 Base CLA 250 FWD Gray,"9,800,000",Foreign Used
Toyota RAV4 2008 Gray,"3,890,000","Foreign Used
172000 km"
Mercedes-Benz C300 2009 Silver,"3,500,000",Nigerian Used
