Name,Address,Facilities,Avg_price_per_night,Rating
Hotel Seventeen,"Kaduna, Kaduna - 6 Tafawa Balewa Way Lafiya Road",InternetRestaurantPoolBar,"₦18,313avg/night",6.8 Very GoodFrom 29 reviews
Epitome Hotels ,"Kaduna South, Kaduna - 12/13 Ethiopia Street.",Pool,"₦9,000avg/night",7.3 Very GoodFrom 34 reviews
Asaa Pyramid Hotel,"Kaduna North, Kaduna - 13 Lafia Road, Off Independence Way ",InternetRestaurantPoolGym,"₦22,000avg/night",7.3 Very GoodFrom 17 reviews
Sonic Immaculate Hotel,"Zaria, Kaduna - 4, Park Road, Sabon-Gari ",RestaurantBar,"₦9,000avg/night",6.6 Very GoodFrom 7 reviews
Elegant Guest Inn,"Kaduna North, Kaduna - 9 Necco Road Mando ",RestaurantBar,"₦2,200avg/night",6.4 Very GoodFrom 3 reviews
Halal Fountain Hotel,"Kaduna North, Kaduna - 1A Wurno Road Off Rabah Road",RestaurantBar,"₦7,000avg/night",8.1 ExcellentFrom 3 reviews
Zecool Hotels Limited,"Kaduna South, Kaduna - 3, Zecool Crescent, Barnawa Kaduna",RestaurantPoolBar,"₦7,200avg/night",6.4 Very GoodFrom 7 reviews
Kenfeli International Palm Beach Hotels,"Kaduna North, Kaduna - 11/12, Busa Close, Off Gwari Avenue (Behind Queen ...",RestaurantPoolBar,"₦5,500avg/night",5.8 GoodFrom 2 reviews
" COMMAND GUEST HOUSE, KADUNA","Kaduna, Kaduna - No. 10, Muhammad Buhari Way (Former Waff Road)",PoolGym,"₦13,500avg/night",6.8 Very GoodFrom 2 reviews
Rex Guest Inn,"Zaria, Kaduna - No. 59, Sokoto Road, Abu Zaria, Zaria, Kaduna Stat...",Bar,"₦3,000avg/night",5.9 GoodFrom 6 reviews
Tomaso King Palace 3,"Barnawa Kaduna, Kaduna - 59/60 Angola Crescent, Barnawa",,"₦4,150avg/night",7.3 Very GoodFrom 3 reviews
Zecool Hotels (Annex),"Kaduna South, Kaduna - 1 Algeria Road, Barnawa Kaduna",InternetRestaurantBar,"₦5,500avg/night",6.3 Very GoodFrom 5 reviews
"Quarter House Hotels, Kaduna","Kaduna, Kaduna - No.2 Ogabdu Road, Malali, G.R.A, ",RestaurantBar,"₦21,300avg/night",9.1 ExcellentFrom 3 reviews
Gombe Jewel Hotel ,"Kaduna North, Kaduna - 7, Ex-ministers Quarters, Off Rabah Road, Near NDA...",RestaurantPoolBarGym,"₦6,845avg/night",4.4 GoodFrom 4 reviews
